ion,K_d_scaled,n_H,L*,theta*,Î”G,MI_approx,bfip
Fe2+,2.6,1.0,0.01,0.003831417624521073,-9.0,0.005495907228544187,False
Fe2+,2.6,1.5,0.01,0.00038446751249519417,-9.0,0.0005543496043912754,False
Fe2+,2.6,2.0,0.01,3.846005922849121e-05,-9.0,5.548293583054262e-05,False
Fe2+,2.6,2.5,0.01,3.846139053311333e-06,-9.0,5.5487737268258045e-06,False
Fe2+,2.6,3.0,0.01,3.846152366864474e-07,-9.0,5.548821743623608e-07,False
Fe2+,26.0,1.0,0.01,0.00038446751249519417,-9.0,0.0005543496043912754,False
Fe2+,26.0,1.5,4.091224489795918,0.24143465826774038,-9.0,0.2426256303906088,True
Fe2+,26.0,2.0,4.091224489795918,0.3916437755656145,-9.0,0.30831302374921377,True
Fe2+,26.0,2.5,4.091224489795918,0.565622823796285,-9.0,0.31694930817966555,True
Fe2+,26.0,3.0,2.050612244897959,0.2490507608033221,-9.0,0.2473496871852116,True
Fe2+,260.0,1.0,0.01,3.846005922849121e-05,-9.0,5.548293583054262e-05,False
Fe2+,260.0,1.5,14.294285714285714,0.172089289270173,-9.0,0.1921620478049971,True
Fe2+,260.0,2.0,10.213061224489795,0.28631546606759545,-9.0,0.2682414463634593,True
Fe2+,260.0,2.5,6.131836734693877,0.26367665435595183,-9.0,0.2559856102615482,True
Fe2+,260.0,3.0,6.131836734693877,0.4699864707527619,-9.0,0.32088804255327485,True
Ca2+,3.0000000000000004e-07,1.0,0.01,0.999970000899973,-9.0,4.327760537070196e-05,False
Ca2+,3.0000000000000004e-07,1.5,0.01,0.9997000899730082,-9.0,0.0004324841134992165,False
Ca2+,3.0000000000000004e-07,2.0,0.01,0.9970089730807578,-9.0,0.004295830926104926,False
Ca2+,3.0000000000000004e-07,2.5,0.01,0.9708737864077669,-9.0,0.04023018475810365,False
Ca2+,3.0000000000000004e-07,3.0,0.01,0.7692307692307692,-9.0,0.23574518426146454,True
Ca2+,3e-06,1.0,0.01,0.9997000899730082,-9.0,0.0004324841134992165,False
Ca2+,3e-06,1.5,0.01,0.9970089730807578,-9.0,0.004295830926104926,False
Ca2+,3e-06,2.0,0.01,0.9708737864077669,-9.0,0.04023018475810365,False
Ca2+,3e-06,2.5,0.01,0.7692307692307693,-9.0,0.23574518426146454,True
Ca2+,3e-06,3.0,0.01,0.25,-9.0,0.24792751344358552,True
Ca2+,3e-05,1.0,0.01,0.9970089730807576,-9.0,0.004295830926105245,False
Ca2+,3e-05,1.5,0.01,0.9708737864077669,-9.0,0.04023018475810365,False
Ca2+,3e-05,2.0,0.01,0.7692307692307692,-9.0,0.23574518426146454,True
Ca2+,3e-05,2.5,0.01,0.25,-9.0,0.24792751344358552,True
Ca2+,3e-05,3.0,0.01,0.03225806451612903,-9.0,0.044348626412737804,False
H+,1e-08,1.0,0.01,0.9999990000010001,-9.0,1.4426914340998716e-06,False
H+,1e-08,1.5,0.01,0.999990000099999,-9.0,1.442658974273069e-05,False
H+,1e-08,2.0,0.01,0.9999000099990002,-9.0,0.00014423344440546486,False
H+,1e-08,2.5,0.01,0.999000999000999,-9.0,0.0014390959814648962,False
H+,1e-08,3.0,0.01,0.9900990099009902,-9.0,0.014073812135099152,False
H+,1e-07,1.0,0.01,0.999990000099999,-9.0,1.442658974273069e-05,False
H+,1e-07,1.5,0.01,0.9999000099990001,-9.0,0.0001442334444057852,False
H+,1e-07,2.0,0.01,0.9990009990009989,-9.0,0.0014390959814648962,False
H+,1e-07,2.5,0.01,0.99009900990099,-9.0,0.014073812135099468,False
H+,1e-07,3.0,0.01,0.909090909090909,-9.0,0.11455976426285598,True
H+,1e-06,1.0,0.01,0.9999000099990002,-9.0,0.00014423344440546486,False
H+,1e-06,1.5,0.01,0.999000999000999,-9.0,0.0014390959814648962,False
H+,1e-06,2.0,0.01,0.9900990099009901,-9.0,0.014073812135099468,False
H+,1e-06,2.5,0.01,0.9090909090909091,-9.0,0.11455976426285569,True
H+,1e-06,3.0,0.01,0.5,-9.0,0.32192809488736235,True
