ion,conc,pH,T,L*,theta*,MI,G_S
H+,0.0005600000000000001,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0005600000000000001,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0005600000000000001,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0005600000000000001,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.00067,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.00067,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.00067,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0007800000000000001,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0007800000000000001,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0007800000000000001,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.0008900000000000001,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.0008900000000000001,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.0008900000000000001,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,5.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,5.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,5.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,5.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,5.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,5.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,5.666666666666667,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,5.666666666666667,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,5.666666666666667,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,6.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,6.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,6.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,6.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,6.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,6.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,6.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,6.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,6.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,7.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,7.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,7.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,7.333333333333333,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,7.333333333333333,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,7.333333333333333,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,7.666666666666666,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,7.666666666666666,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,7.666666666666666,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
H+,0.001,8.0,305.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.7500000000431335
H+,0.001,8.0,310.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.5000000000438405
H+,0.001,8.0,315.0,5.0,0.9999999999971716,1.4800853012835045e-07,-4.2500000000445475
